07:21:36.420 logd             (10d163 10d163): INFO : Starting logd
07:21:36.420 logd::input      (10d163 10d163): DEBUG: Removing stale socket at "/tmp/logd.stream.sock"
07:21:36.420 logd::input      (10d163 10d163): INFO : Binding to "/tmp/logd.stream.sock"
07:21:36.420 logd::input      (10d163 10d163): INFO : Listening on "/tmp/logd.stream.sock"
07:21:36.420 logd::input      (10d163 10d163): DEBUG: Removing stale socket at "/tmp/logd.sock"
07:21:36.420 logd::input      (10d163 10d163): INFO : Binding to "/tmp/logd.sock"
07:21:36.420 logd::input      (10d163 10d163): INFO : Listening on "/tmp/logd.sock"
07:21:38.423 logd::input      (10d163 10d163): INFO : Accepted seqpacket connection
07:21:38.423 adas_primary     (10d1aa 10d1aa): INFO : Starting primary agent Agt-100
07:21:38.423 feo_tracing::feo_subscriber (10d1aa 10d1ab): ERROR: Failed to connect to feo-tracer: Os { code: 2, kind: NotFound, message: "No such file or directory" }, aborting
07:21:38.423 feo_com::linux_shm          (10d1aa 10d1aa): INFO : Initializing topic feo/com/vehicle/camera/front (LinuxShm, 24 bytes)...
07:21:38.424 feo_com::linux_shm          (10d1aa 10d1aa): INFO : Initializing topic feo/com/vehicle/radar/front (LinuxShm, 16 bytes)...
07:21:38.424 feo_com::linux_shm          (10d1aa 10d1aa): INFO : Initializing topic feo/com/vehicle/inferred/scene (LinuxShm, 40 bytes)...
07:21:38.424 feo_com::linux_shm          (10d1aa 10d1aa): INFO : Initializing topic feo/com/vehicle/control/steering (LinuxShm, 8 bytes)...
07:21:38.424 feo_com::linux_shm          (10d1aa 10d1aa): INFO : Initializing topic feo/com/vehicle/control/brakes (LinuxShm, 16 bytes)...
07:21:38.424 feo_com::linux_shm          (10d1aa 10d1aa): INFO : Initializing topic feo/com/vehicle/data/published (LinuxShm, 152 bytes)...
07:21:38.424 feo_com::linux_shm          (10d1aa 10d1aa): INFO : Initializing topic feo/com/vehicle/dms/data (LinuxShm, 80 bytes)...
07:21:38.424 feo_com::linux_shm          (10d1aa 10d1aa): INFO : Initializing topic feo/com/vehicle/lkas/data (LinuxShm, 56 bytes)...
07:21:38.424 feo_com::linux_shm          (10d1aa 10d1aa): INFO : Initializing topic feo/com/vehicle/lkas/lane_change (LinuxShm, 48 bytes)...
07:21:38.424 feo_com::linux_shm          (10d1aa 10d1ac): DEBUG: Listening for 21 topic mapping requests...
07:21:38.424 feo::signalling::relayed::connectors::scheduler (10d1aa 10d1aa): DEBUG: Starting MixedSchedulerConnector
07:21:38.424 feo::signalling::common::mpsc::endpoint         (10d1aa 10d1ad): DEBUG: Sent connect request signal from channel Worker(GenericId { id: 40, _discriminator: PhantomData<feo::ids::WorkerIdMarker> })
07:21:38.424 feo::signalling::common::mpsc::endpoint         (10d1aa 10d1ae): DEBUG: Sent connect request signal from channel Worker(GenericId { id: 41, _discriminator: PhantomData<feo::ids::WorkerIdMarker> })
07:21:42.428 logd::input                                     (10d163 10d163): INFO : Accepted seqpacket connection
